YearlyIncome,MaritalStatus,Gender,TotalChildren,ChildrenAtHome,Education,Occupation,HouseOwner,CarsOwned,Age
130000,S,F,0,1,Graduate Degree,Management,0,3,40
130000,M,F,0,1,Graduate Degree,Management,1,3,35
80000,S,M,2,0,Partial High School,Skilled Manual,0,2,49
60000,S,F,2,0,High School,Professional,0,2,49
70000,M,M,2,1,Partial College,Professional,1,0,49
70000,M,F,3,2,Partial College,Professional,0,0,49
80000,M,M,2,1,Bachelors,Management,1,0,49
80000,S,F,2,1,Bachelors,Management,1,1,50
90000,S,M,2,0,Partial College,Professional,1,1,44
90000,M,M,2,0,Partial College,Professional,1,1,50
90000,M,F,2,2,Bachelors,Professional,1,0,40
100000,M,F,0,0,Graduate Degree,Management,1,0,34
70000,S,M,1,0,Partial College,Skilled Manual,0,1,45
70000,S,M,1,0,Partial College,Skilled Manual,1,1,44
60000,M,M,1,0,Bachelors,Professional,1,1,44
60000,M,M,1,0,Partial College,Skilled Manual,1,1,40
60000,S,F,1,0,Partial College,Skilled Manual,0,1,46
60000,M,M,1,0,Bachelors,Professional,1,1,46
60000,S,F,1,0,Partial College,Skilled Manual,1,1,46
70000,S,F,0,0,Bachelors,Professional,0,1,42
80000,S,F,5,5,Bachelors,Professional,1,4,42
70000,S,F,0,0,Bachelors,Professional,1,1,31
70000,M,M,0,0,Bachelors,Professional,0,1,37
70000,S,F,0,0,Bachelors,Professional,0,1,42
70000,S,M,0,0,Bachelors,Professional,0,1,42
90000,M,F,1,0,Bachelors,Professional,1,1,36
70000,S,F,0,0,Bachelors,Professional,0,2,43
70000,S,M,0,0,Bachelors,Professional,0,2,32
60000,M,M,1,0,Partial College,Skilled Manual,1,1,45
60000,M,F,1,0,Partial College,Skilled Manual,1,1,45
60000,M,F,1,0,Partial College,Skilled Manual,1,1,44
70000,M,M,5,4,Bachelors,Professional,1,2,39
70000,S,F,5,4,Partial College,Skilled Manual,1,2,45
70000,M,M,5,4,Partial College,Skilled Manual,1,2,45
70000,M,M,5,4,Partial College,Skilled Manual,1,2,33
70000,M,F,5,4,Partial College,Skilled Manual,1,3,46
80000,S,M,1,0,Partial College,Skilled Manual,0,1,50
30000,S,M,2,0,Partial College,Clerical,0,2,72
40000,S,F,2,0,Bachelors,Management,1,1,70
70000,M,M,5,4,Partial College,Skilled Manual,1,3,46
70000,M,M,5,4,Partial College,Skilled Manual,1,3,47
70000,M,M,5,4,Partial College,Skilled Manual,1,3,47
80000,S,M,1,0,Partial College,Skilled Manual,1,1,44
70000,S,F,1,0,Partial College,Skilled Manual,1,1,51
10000,M,M,2,1,High School,Skilled Manual,0,2,58
40000,M,F,0,0,High School,Skilled Manual,1,1,31
40000,M,F,0,0,High School,Skilled Manual,1,1,31
40000,S,F,0,0,High School,Skilled Manual,1,1,31
30000,M,F,0,0,High School,Skilled Manual,1,2,27
30000,M,F,0,0,High School,Skilled Manual,0,2,27
30000,S,F,0,0,High School,Skilled Manual,0,2,26
30000,S,F,0,0,Partial High School,Clerical,0,2,26
10000,S,M,5,0,High School,Skilled Manual,1,2,55
30000,S,M,0,0,Partial High School,Clerical,0,2,27
40000,S,F,0,0,High School,Skilled Manual,0,2,28
40000,M,F,0,0,High School,Skilled Manual,1,2,28
40000,M,F,0,0,High School,Skilled Manual,0,2,28
30000,S,F,2,0,Partial College,Clerical,0,2,63
30000,S,M,0,0,Partial High School,Clerical,0,2,30
40000,M,F,0,0,High School,Skilled Manual,0,2,30
40000,S,M,0,0,High School,Skilled Manual,0,2,29
40000,M,M,0,0,High School,Skilled Manual,1,2,30
40000,S,M,0,0,High School,Skilled Manual,0,2,27
40000,S,F,0,0,High School,Skilled Manual,0,2,27
40000,S,F,2,0,Bachelors,Management,1,2,67
60000,M,M,2,0,Graduate Degree,Management,1,1,68
40000,M,M,2,0,Bachelors,Management,1,2,65
40000,M,M,2,0,Bachelors,Management,1,2,66
40000,S,M,2,0,Bachelors,Management,1,2,66
60000,S,F,2,0,Graduate Degree,Management,0,1,65
40000,S,M,0,0,High School,Skilled Manual,1,2,31
40000,M,F,0,0,High School,Skilled Manual,1,2,31
40000,S,F,0,0,Partial College,Skilled Manual,1,1,30
40000,S,M,0,0,Partial College,Skilled Manual,0,1,31
40000,S,F,0,0,Partial College,Skilled Manual,0,1,31
40000,M,F,0,0,High School,Skilled Manual,1,2,32
40000,S,M,0,0,High School,Skilled Manual,1,2,31
40000,S,F,0,0,High School,Skilled Manual,0,2,31
40000,S,M,0,0,Partial College,Skilled Manual,0,1,33
40000,S,F,0,0,Partial College,Skilled Manual,0,1,33
40000,S,M,0,0,Partial College,Skilled Manual,1,1,33
40000,M,M,0,0,Partial College,Skilled Manual,1,1,32
40000,S,M,0,0,Partial College,Skilled Manual,0,1,33
60000,M,F,0,0,Partial College,Skilled Manual,0,1,33
70000,S,F,0,0,Partial College,Skilled Manual,0,2,35
80000,S,F,0,0,Bachelors,Management,0,1,34
80000,S,M,0,0,Bachelors,Management,0,1,39
90000,M,M,4,4,Bachelors,Management,1,1,39
90000,M,F,4,4,Bachelors,Management,1,1,39
100000,S,M,1,0,Bachelors,Management,1,2,34
100000,M,F,1,0,Bachelors,Management,1,2,39
110000,S,F,0,0,Graduate Degree,Management,0,4,39
110000,M,M,0,1,Graduate Degree,Management,1,0,39
70000,S,M,0,0,Partial College,Skilled Manual,1,2,44
90000,M,M,4,4,Bachelors,Management,1,1,33
110000,M,M,2,4,Graduate Degree,Management,1,2,64
100000,M,M,2,3,Graduate Degree,Management,1,3,58
120000,M,F,2,4,Graduate Degree,Management,1,3,53
160000,M,F,1,3,Bachelors,Management,1,4,64
170000,M,M,2,3,Graduate Degree,Management,1,2,52
70000,S,F,4,0,Bachelors,Management,1,2,62
70000,S,F,4,0,Bachelors,Management,1,2,62
70000,S,F,4,0,Bachelors,Management,1,2,57
70000,S,F,4,0,Bachelors,Management,1,2,62
70000,S,F,4,0,Bachelors,Management,1,2,63
60000,M,F,4,0,Graduate Degree,Management,1,2,63
60000,M,F,4,0,Graduate Degree,Management,0,2,62
60000,S,M,4,0,Graduate Degree,Management,1,2,62
70000,M,M,5,0,Bachelors,Management,1,2,63
70000,S,F,5,0,Bachelors,Management,1,3,61
60000,M,M,4,0,Bachelors,Management,1,2,61
60000,M,M,4,0,Bachelors,Management,1,2,62
60000,M,F,4,0,Bachelors,Management,1,2,62
60000,M,F,5,0,Bachelors,Management,1,3,61
60000,M,M,5,0,Bachelors,Management,1,3,61
70000,M,F,3,1,Bachelors,Management,0,1,61
70000,S,F,4,1,Bachelors,Management,1,1,60
70000,M,F,4,1,Bachelors,Management,1,1,55
70000,M,M,4,1,Bachelors,Management,1,1,59
70000,M,F,4,1,Bachelors,Management,1,1,59
80000,M,F,5,0,Bachelors,Management,0,2,54
40000,M,M,2,1,High School,Professional,1,2,53
40000,M,F,2,1,High School,Professional,1,2,59
40000,M,F,2,1,High School,Professional,1,2,58
60000,M,M,2,1,Partial College,Professional,1,1,58
60000,S,F,2,1,Partial College,Professional,1,1,58
60000,M,F,2,1,Bachelors,Management,1,0,59
60000,M,F,2,1,Bachelors,Management,1,0,59
70000,M,M,4,1,Partial College,Professional,1,2,59
40000,M,F,2,1,High School,Professional,1,2,52
40000,M,F,2,1,High School,Professional,1,2,57
60000,S,F,2,1,Partial College,Professional,1,2,58
60000,S,M,2,1,Partial College,Professional,1,2,57
40000,M,F,2,1,Partial High School,Skilled Manual,1,2,51
60000,S,F,2,1,Partial College,Professional,1,2,57
60000,S,F,2,1,Partial College,Professional,1,2,57
60000,S,F,2,1,Partial College,Professional,0,2,51
60000,M,M,2,1,High School,Professional,1,2,56
60000,M,F,2,1,Partial College,Professional,1,1,51
70000,M,M,4,2,Partial College,Professional,1,1,57
80000,M,F,3,1,Bachelors,Management,1,1,56
70000,S,F,2,1,High School,Professional,1,2,55
70000,S,F,2,1,High School,Professional,1,2,55
60000,M,F,2,1,Partial College,Professional,1,1,50
60000,M,F,2,1,Partial College,Professional,1,1,50
60000,S,M,2,1,Partial College,Professional,1,2,50
60000,M,F,2,1,Partial College,Professional,1,2,56
70000,S,M,4,2,Partial College,Professional,1,1,55
70000,M,F,4,2,Partial College,Professional,0,2,56
60000,M,M,2,1,High School,Professional,1,2,49
60000,M,F,3,1,High School,Professional,0,2,54
70000,M,M,4,2,Partial College,Professional,1,2,49
70000,S,F,4,2,Partial College,Professional,1,2,54
70000,M,M,4,2,Partial College,Professional,1,2,55
70000,S,M,5,2,Partial College,Professional,1,2,55
130000,S,M,2,3,Bachelors,Management,0,4,48
130000,S,F,2,3,Bachelors,Management,0,4,48
130000,M,F,2,4,Partial College,Professional,0,2,43
160000,M,F,2,3,Partial College,Professional,1,4,48
100000,S,F,2,3,Partial College,Professional,1,4,38
110000,M,M,2,4,Partial College,Professional,1,3,49
150000,M,F,2,3,Partial College,Professional,1,3,49
170000,S,F,2,3,Bachelors,Management,0,3,44
120000,M,M,3,4,High School,Professional,0,4,50
120000,M,F,3,4,High School,Professional,0,4,50
130000,S,F,3,4,Partial College,Professional,0,3,51
110000,M,M,3,4,Partial College,Professional,1,4,46
130000,M,F,3,4,Partial College,Professional,1,3,46
170000,M,F,3,4,High School,Professional,1,2,46
30000,S,M,4,0,High School,Professional,0,2,74
90000,S,M,3,0,Graduate Degree,Management,1,1,75
60000,M,M,2,0,Graduate Degree,Management,1,2,63
70000,M,M,4,0,Graduate Degree,Management,1,2,74
70000,M,M,4,0,Graduate Degree,Management,1,2,74
70000,M,F,4,0,Graduate Degree,Management,1,2,73
120000,S,F,1,2,Graduate Degree,Management,1,4,74
120000,M,M,1,2,Graduate Degree,Management,1,4,74
100000,M,F,4,1,Partial College,Professional,1,4,42
110000,M,F,2,2,Bachelors,Management,1,3,36
130000,M,F,1,2,Graduate Degree,Management,1,1,42
80000,M,F,4,3,Bachelors,Management,1,0,37
90000,M,F,5,5,Partial College,Professional,1,3,42
90000,S,M,5,5,Partial College,Professional,0,3,43
90000,M,F,5,5,Partial College,Professional,1,3,42
90000,S,F,0,0,Partial College,Professional,0,1,43
120000,S,M,4,2,Partial College,Professional,1,4,37
130000,M,F,2,2,Graduate Degree,Management,1,2,43
130000,M,M,2,2,Graduate Degree,Management,1,2,37
130000,M,M,2,2,Graduate Degree,Management,1,3,37
150000,S,F,2,0,Bachelors,Management,0,4,43
70000,S,F,4,3,Partial College,Professional,1,0,50
90000,M,M,2,1,Partial College,Professional,1,0,50
50000,M,M,2,0,Graduate Degree,Management,1,2,73
80000,M,F,4,0,Graduate Degree,Management,1,2,73
80000,M,F,4,3,Partial College,Professional,1,2,38
80000,M,M,4,3,Partial College,Professional,1,2,44
90000,S,M,0,0,Partial College,Professional,0,1,43
90000,M,F,0,0,Partial College,Professional,1,1,38
90000,M,M,0,0,Partial College,Professional,1,1,43
110000,S,F,4,2,Bachelors,Management,1,4,38
90000,M,M,5,4,Partial College,Professional,1,4,45
110000,M,M,1,3,Bachelors,Management,1,2,44
110000,M,F,1,3,Bachelors,Management,1,2,45
120000,M,M,1,3,Partial College,Professional,0,4,39
170000,M,M,0,0,Graduate Degree,Management,1,4,45
70000,M,M,5,4,Partial College,Professional,0,3,46
110000,M,F,1,3,Bachelors,Management,1,3,34
130000,M,F,1,3,Bachelors,Management,1,1,40
130000,M,F,1,3,Bachelors,Management,1,3,40
130000,M,F,1,3,Bachelors,Management,1,3,40
150000,S,M,1,2,Partial College,Professional,0,3,45
60000,S,M,2,0,High School,Professional,0,2,52
60000,M,M,2,0,High School,Professional,0,2,51
80000,S,F,2,0,Partial High School,Skilled Manual,1,2,53
50000,S,F,2,0,Graduate Degree,Management,1,2,71
70000,S,M,4,0,Graduate Degree,Management,1,2,72
70000,M,M,4,0,Graduate Degree,Management,1,2,72
70000,M,M,4,0,Graduate Degree,Management,1,2,71
80000,M,M,5,4,Partial College,Professional,0,3,47
80000,M,M,5,4,Partial College,Professional,1,4,47
90000,S,M,4,3,High School,Professional,0,3,41
90000,S,F,4,3,High School,Professional,0,3,46
100000,M,F,0,3,Partial College,Professional,1,0,41
110000,M,M,3,3,Partial College,Professional,0,4,47
110000,M,M,3,3,Partial College,Professional,0,4,47
80000,M,M,2,0,Partial High School,Skilled Manual,1,2,47
60000,M,M,2,0,High School,Professional,0,2,53
60000,S,F,2,0,High School,Professional,1,2,53
70000,S,F,3,0,Graduate Degree,Management,1,2,48
70000,S,F,3,0,Graduate Degree,Management,0,2,53
70000,S,F,3,0,Graduate Degree,Management,1,2,54
70000,S,M,3,0,Graduate Degree,Management,1,2,54
70000,S,F,3,0,Graduate Degree,Management,0,2,42
70000,S,F,3,0,Graduate Degree,Management,0,2,53
60000,M,M,3,0,Graduate Degree,Management,1,2,53
40000,S,F,3,0,Partial College,Professional,0,2,49
40000,S,F,3,0,Partial College,Professional,0,2,54
70000,M,F,4,0,Graduate Degree,Management,0,2,64
80000,M,F,4,0,Graduate Degree,Management,1,2,70
90000,M,M,5,0,Bachelors,Management,1,2,68
90000,M,F,5,0,Bachelors,Management,1,2,69
120000,S,M,2,4,Graduate Degree,Management,1,3,69
90000,M,M,5,0,Bachelors,Management,1,2,68
90000,S,M,5,0,Bachelors,Management,1,2,68
130000,M,M,2,3,Bachelors,Management,1,4,68
90000,M,M,5,0,Bachelors,Management,1,2,67
90000,M,M,5,0,Bachelors,Management,1,2,67
90000,S,M,5,0,Bachelors,Management,1,2,66
110000,M,M,2,4,Graduate Degree,Management,1,1,67
90000,M,F,4,4,Partial College,Skilled Manual,1,2,38
10000,S,F,1,0,Graduate Degree,Manual,1,0,44
20000,M,F,1,0,Graduate Degree,Clerical,1,0,44
10000,M,F,1,0,Bachelors,Manual,1,0,46
10000,M,F,1,0,Bachelors,Manual,1,0,35
20000,M,M,1,0,Graduate Degree,Clerical,1,0,39
10000,M,M,1,0,Bachelors,Manual,1,0,45
20000,M,M,1,0,Graduate Degree,Clerical,1,0,40
20000,S,M,1,0,Graduate Degree,Clerical,1,0,45
10000,M,F,1,0,Graduate Degree,Clerical,1,0,65
20000,M,M,1,0,Graduate Degree,Clerical,1,0,70
30000,M,M,5,0,Graduate Degree,Clerical,1,0,39
10000,M,M,1,0,Bachelors,Manual,1,0,37
10000,M,F,1,0,Partial College,Manual,1,0,49
10000,S,F,1,0,Partial College,Manual,1,0,50
10000,S,F,2,0,Partial College,Manual,1,1,46
10000,M,M,2,0,Partial College,Manual,1,1,40
10000,M,M,2,0,Partial College,Manual,1,1,51
10000,M,F,2,0,Partial College,Manual,1,1,47
30000,M,F,1,0,Graduate Degree,Clerical,1,0,70
20000,S,F,1,0,Bachelors,Clerical,1,0,62
10000,M,M,2,0,Partial College,Manual,1,1,67
30000,S,F,1,0,Bachelors,Clerical,1,0,66
20000,M,F,1,0,Partial College,Manual,1,0,65
40000,M,M,1,0,Graduate Degree,Clerical,1,0,64
10000,S,M,0,0,Partial College,Manual,0,1,27
10000,S,M,0,0,Partial College,Manual,0,1,28
10000,S,F,0,0,Partial College,Manual,0,1,28
10000,S,M,0,0,Partial College,Manual,0,1,28
10000,S,M,0,0,Partial College,Manual,1,1,28
10000,M,F,0,0,High School,Manual,1,2,30
10000,M,M,0,0,High School,Manual,0,2,29
10000,S,M,0,0,High School,Manual,0,2,29
10000,S,F,1,1,High School,Manual,0,0,27
10000,S,F,1,1,High School,Manual,0,0,28
20000,M,F,0,0,Bachelors,Clerical,1,0,27
20000,M,M,0,0,Bachelors,Clerical,1,0,28
10000,S,M,1,1,High School,Manual,0,0,28
20000,M,F,0,0,Bachelors,Clerical,0,0,28
20000,M,F,0,0,Bachelors,Clerical,1,0,29
20000,M,F,0,0,Bachelors,Clerical,1,0,29
20000,S,F,0,0,Bachelors,Clerical,1,0,29
30000,M,F,1,0,Bachelors,Clerical,1,0,58
30000,S,M,1,0,Bachelors,Clerical,1,0,64
30000,M,M,1,0,Bachelors,Clerical,1,0,64
40000,S,M,1,0,Graduate Degree,Clerical,1,0,64
30000,M,M,4,0,Graduate Degree,Clerical,1,0,46
10000,S,F,1,1,High School,Manual,0,1,47
10000,M,M,1,1,High School,Manual,1,1,36
20000,S,M,2,0,Partial College,Manual,1,1,48
20000,M,F,2,0,Partial College,Manual,1,1,42
20000,M,M,2,0,Partial College,Manual,1,1,38
30000,M,F,3,0,Graduate Degree,Clerical,1,0,46
30000,M,F,3,0,Bachelors,Clerical,1,0,41
30000,S,M,3,0,Bachelors,Clerical,1,0,41
30000,M,F,3,0,Bachelors,Clerical,1,0,41
40000,S,F,3,0,Graduate Degree,Clerical,1,0,48
40000,M,M,3,0,Graduate Degree,Clerical,1,0,47
10000,S,M,1,1,High School,Manual,0,1,31
10000,S,F,1,1,High School,Manual,0,1,36
10000,S,F,2,2,High School,Manual,1,0,36
10000,S,M,2,2,High School,Manual,1,0,31
10000,S,M,2,2,High School,Manual,1,0,38
10000,S,M,2,2,High School,Manual,1,0,37
30000,S,F,0,0,Bachelors,Clerical,1,0,36
10000,M,M,2,2,High School,Manual,0,1,37
20000,S,F,0,0,Partial College,Manual,0,1,38
30000,S,M,0,0,Bachelors,Clerical,1,0,37
30000,S,F,1,0,Bachelors,Clerical,1,0,37
40000,S,M,0,0,Graduate Degree,Clerical,1,0,32
40000,M,F,0,0,Graduate Degree,Clerical,1,0,37
40000,M,F,0,0,Graduate Degree,Clerical,1,0,37
40000,S,F,0,0,Graduate Degree,Clerical,1,0,32
10000,S,F,3,0,Partial College,Manual,0,2,55
10000,S,F,3,0,Partial College,Manual,0,2,55
20000,M,F,2,0,Partial College,Manual,1,1,55
20000,M,M,2,0,Partial College,Manual,1,1,55
10000,M,M,2,1,High School,Manual,0,2,48
10000,S,F,2,2,High School,Manual,1,1,33
20000,M,M,1,1,Partial College,Manual,1,0,38
80000,M,M,3,2,Partial College,Professional,0,1,53
80000,S,F,4,2,Partial College,Professional,1,1,53
80000,M,F,4,2,Partial College,Professional,0,1,53
80000,S,M,4,2,Partial College,Professional,1,1,53
90000,S,M,5,0,Partial College,Professional,0,2,63
60000,M,F,3,1,Partial High School,Skilled Manual,1,4,62
70000,M,F,5,1,High School,Professional,1,2,62
90000,S,M,5,0,Partial College,Professional,0,2,62
150000,M,M,3,4,Graduate Degree,Management,1,4,62
100000,M,M,2,3,Bachelors,Management,1,4,60
110000,M,F,3,4,Bachelors,Management,1,4,60
170000,M,M,4,4,Bachelors,Management,1,3,60
80000,M,F,4,2,Partial College,Professional,0,1,52
80000,M,F,4,2,Partial College,Professional,1,2,48
90000,M,F,4,2,High School,Professional,1,2,47
110000,M,M,3,4,Bachelors,Management,1,4,53
110000,M,F,2,5,Partial College,Professional,1,2,53
120000,S,F,2,5,Bachelors,Management,1,2,53
80000,M,M,4,1,Partial College,Professional,1,2,54
90000,M,F,4,1,High School,Professional,1,2,55
110000,M,M,4,5,Partial College,Professional,1,2,38
80000,M,F,4,2,High School,Professional,1,2,55
80000,M,M,5,2,High School,Professional,0,2,55
170000,M,M,5,5,Partial College,Professional,1,4,50
100000,S,F,3,4,Partial College,Management,1,4,57
160000,M,F,3,5,Partial College,Management,0,4,56
90000,M,M,4,1,High School,Management,1,3,57
130000,M,F,4,5,High School,Management,1,4,57
90000,M,F,4,1,High School,Management,0,3,59
80000,M,M,5,0,Partial High School,Skilled Manual,0,2,59
90000,M,F,5,0,Partial High School,Skilled Manual,0,2,60
90000,M,M,5,0,Partial High School,Skilled Manual,1,2,59
60000,S,F,0,0,Bachelors,Professional,0,4,31
70000,M,F,0,0,Bachelors,Professional,1,3,31
70000,S,F,0,0,Bachelors,Professional,0,3,32
70000,S,F,0,0,Bachelors,Professional,0,3,32
70000,M,F,0,0,Bachelors,Professional,1,4,32
80000,S,M,0,0,Bachelors,Professional,1,3,32
80000,M,M,0,0,Bachelors,Professional,1,3,32
130000,S,M,4,5,High School,Management,1,4,31
70000,S,M,0,0,Bachelors,Professional,0,4,32
80000,S,F,0,0,Bachelors,Professional,0,3,33
80000,S,M,0,0,Bachelors,Professional,0,3,28
80000,S,F,0,0,Bachelors,Professional,0,3,33
100000,M,M,0,5,High School,Management,1,2,33
120000,M,M,5,5,Partial High School,Professional,1,4,32
90000,M,F,0,0,Bachelors,Professional,1,3,34
100000,M,F,0,5,High School,Management,1,2,34
80000,S,F,0,0,Bachelors,Professional,0,3,34
90000,S,M,0,0,Bachelors,Professional,0,3,29
90000,S,M,0,0,Bachelors,Professional,0,3,35
110000,M,F,0,5,High School,Management,1,4,35
110000,M,F,0,5,High School,Management,0,4,35
90000,M,M,0,0,Bachelors,Professional,1,4,35
90000,M,M,0,0,Bachelors,Professional,0,4,36
150000,M,M,0,5,Partial High School,Management,1,4,35
170000,M,M,1,5,Graduate Degree,Management,1,4,37
40000,M,F,1,1,Bachelors,Skilled Manual,1,0,32
10000,S,M,0,0,Partial High School,Manual,0,2,34
20000,S,M,0,0,Partial High School,Manual,0,2,33
30000,S,F,0,0,Partial College,Clerical,1,1,33
60000,S,M,3,2,Bachelors,Professional,1,2,44
20000,S,F,0,0,Partial High School,Manual,0,2,26
20000,S,M,0,0,Partial High School,Manual,1,2,27
30000,S,M,0,0,High School,Manual,0,1,28
40000,M,F,1,1,Bachelors,Skilled Manual,1,0,32
30000,S,M,0,0,High School,Manual,0,1,28
30000,S,M,0,0,High School,Manual,0,1,28
40000,M,M,1,1,Bachelors,Skilled Manual,1,0,34
40000,M,F,1,1,Bachelors,Skilled Manual,1,0,28
40000,M,F,1,1,Bachelors,Skilled Manual,1,0,34
30000,S,F,0,0,High School,Manual,0,1,34
40000,M,M,1,1,Bachelors,Skilled Manual,1,1,29
40000,S,M,2,2,Partial College,Clerical,1,0,29
40000,M,M,2,2,Partial College,Clerical,0,0,34
10000,S,F,0,0,Partial High School,Manual,1,2,30
10000,S,F,0,0,Partial High School,Manual,0,2,35
20000,S,M,0,0,Partial High School,Manual,1,2,35
20000,S,F,0,0,Partial High School,Manual,0,2,36
20000,S,M,0,0,Partial High School,Manual,0,2,36
20000,M,M,0,0,Partial High School,Manual,0,2,30
30000,S,M,0,0,High School,Manual,0,1,30
40000,S,F,2,2,Partial College,Clerical,1,0,36
40000,S,M,2,2,Partial College,Clerical,1,0,36
40000,S,M,2,2,Partial College,Clerical,1,1,35
40000,S,M,2,2,Partial College,Clerical,1,2,36
40000,S,F,2,2,Partial College,Clerical,1,2,31
40000,S,M,3,3,Partial College,Clerical,1,2,33
40000,S,M,3,3,Partial College,Clerical,1,2,32
40000,S,F,0,0,Graduate Degree,Skilled Manual,1,0,32
40000,S,F,3,3,Partial College,Clerical,1,2,31
40000,S,M,4,4,Partial College,Clerical,1,1,32
50000,M,M,1,0,Graduate Degree,Skilled Manual,1,0,76
40000,M,F,1,0,Bachelors,Skilled Manual,1,1,76
60000,S,F,0,0,Graduate Degree,Skilled Manual,1,0,40
60000,S,M,0,0,Graduate Degree,Skilled Manual,0,0,41
60000,S,F,0,0,Graduate Degree,Skilled Manual,1,0,40
60000,S,F,0,0,Graduate Degree,Skilled Manual,1,0,40
30000,M,F,1,0,Bachelors,Skilled Manual,1,1,48
30000,M,M,1,0,Bachelors,Skilled Manual,1,1,53
